MONTH,STATUS,STORE,CITY,ZONE MAPPING,REVENUE COHORT,CM COHORT,EBITDA CATEGORY,EBITDA COHORT,ORDER COUNT,CART SALES,DISCOUNT,NET REVENUE,IDEAL FOOD COST,GROSS MARGIN,KITCHEN EBITDA,VARIANCE,EBITDA %,GM %,MONTH_SORT
2023-10-01,Active,Caldwell-Mack,Ahmedabad,North,More than 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,9326,2837076.98,441062.82,2468757.55,1123526.22,1255049.98,-77379.96,20115.46,-3.134368540969121,50.8373120722203,2023-10-01
2023-10-01,Active,Campos PLC,Hyderabad,East,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%,14272,5114745.33,1482619.15,3732080.22,1593606.74,2078305.28,811498.99,15844.15,21.743878538602257,55.6875832642204,2023-10-01
2023-10-01,Active,"Carson, Macias and Wiggins",Hyderabad,East,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,10% to 20%,10659,5129608.62,1341471.01,3838629.37,1390482.93,2323528.48,968663.02,23915.9,25.23460659084156,60.53015949284002,2023-10-01
2023-10-01,Active,Carter LLC,Ahmedabad,North,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,8016,2503562.47,644739.13,1984530.1,568281.2,1340120.15,132072.02,16234.97,6.65507769320304,67.52833580100398,2023-10-01
2023-10-01,Active,Chavez-Bell,Ahmedabad,East,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,8848,3380353.65,668103.85,2841146.89,937382.28,1780260.75,562930.95,20879.53,19.813510944518605,62.659933432727236,2023-10-01
2023-10-01,Active,Chen-Williams,Hyderabad,East,More than 40 lacs,More than 30%,EBITDA -ve,More than 20%,8484,3558253.06,874352.93,2787009.84,910801.13,1808134.17,303863.04,26863.12,10.902833410878808,64.877207968523,2023-10-01
2023-10-01,Active,"Clark, Thomas and Rodriguez",Bangalore,West,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,10266,4982383.08,914249.39,4113500.28,1865162.86,2182488.51,874621.09,28298.24,21.262210537639735,53.05672447893938,2023-10-01
2023-10-01,Active,"Cortez, Shepard and Krause",Bangalore,West,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,7989,3706087.18,1087565.92,2684919.68,1164494.67,1438098.54,21800.71,17543.19,0.8119687960274475,53.562069313000826,2023-10-01
2023-10-01,Active,"Cross, Cordova and Cobb",Mumbai,South,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,9620,3085078.92,718801.68,2497984.05,1041266.1,1333347.02,-33650.05,26172.61,-1.3470882650351592,53.376922883074464,2023-10-01
2023-10-01,Active,"Davis, Burnett and Bailey",Ahmedabad,South,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%,9416,4676139.16,734085.18,4066912.64,1816023.08,2160590.65,867923.49,13245.65,21.34109008055801,53.1260649355871,2023-10-01
2023-10-01,Active,Dean-Richardson,Bangalore,East,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,12292,5076639.68,1118048.46,4068614.6,1860577.87,2155656.13,925317.12,20354.81,22.742805868120318,52.98255897720073,2023-10-01
2023-10-01,Active,Dean-Scott,Hyderabad,North,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,9352,3424842.19,823514.01,2663562.99,892973.32,1716300.08,316481.66,15686.9,11.88189133082976,64.43624898091859,2023-10-01
2023-10-01,Active,"Deleon, Leblanc and Berry",Mumbai,South,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,11355,4719023.86,1081177.18,3765558.15,1401617.48,2232295.28,846923.28,19236.13,22.491307961875453,59.2819229202449,2023-10-01
2023-10-01,Active,"Dorsey, Schultz and Sharp",Pune,East,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,7467,2646309.36,712890.27,2026736.02,758697.43,1156454.25,-116980.39,14754.26,-5.771861201736574,57.059934722036466,2023-10-01
2023-10-01,Active,Drake LLC,Ahmedabad,North,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,12361,3971544.22,888746.33,3158828.94,1271805.2,1822334.08,252214.75,17982.19,7.984438372278557,57.6901793232273,2023-10-01
2023-10-01,Active,Duffy-Bowen,Bangalore,East,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,10654,3825378.98,1029069.36,2857637.94,1125452.63,1681926.91,221519.3,25333.12,7.751832270256043,58.85724312576841,2023-10-01
2023-10-01,Active,Eaton-Bryant,Mumbai,South,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,10363,3619481.38,577263.89,3114082.92,1304378.3,1673264.32,420455.67,15894.03,13.501749336848102,53.73216972655308,2023-10-01
2023-10-01,Active,Edwards LLC,Hyderabad,North,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,10864,3812134.83,925445.27,2932040.16,1044332.51,1788135.89,292559.0,20528.41,9.97800111987552,60.98606405172839,2023-10-01
2023-10-01,Active,Edwards-Jackson,Mumbai,South,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,14272,5132040.74,1395267.69,3885986.21,1613642.85,2177041.94,817295.2,28574.06,21.031860532515886,56.02289412138701,2023-10-01
2023-10-01,Active,Erickson-Terry,Mumbai,West,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%,10388,4025312.45,1136789.12,3006933.37,1301355.48,1565973.81,287937.09,20351.93,9.575772209412143,52.078766547460944,2023-10-01
2023-10-01,Active,"Evans, Soto and Williams",Mumbai,East,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,9533,3140426.03,799589.73,2410889.93,1155418.0,1171319.66,-59423.12,13003.13,-2.4647794683849376,48.58453492316839,2023-10-01
2023-10-01,Active,"Fernandez, Martin and Fields",Ahmedabad,North,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,7984,2542670.87,607052.47,2047123.6,738979.6,1160143.26,-209838.16,24471.43,-10.250390352590337,56.67187169353135,2023-10-01
2023-10-01,Active,"Foster, Davis and Smith",Bangalore,West,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,12698,6216056.14,1276166.36,5049089.06,2036606.54,2888540.73,1420681.12,15095.18,28.13737494263966,57.209145960281404,2023-10-01
2023-10-01,Active,"Fox, Smith and Curtis",Bangalore,North,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,11375,4700099.3,890904.46,3955901.08,1629760.45,2208210.08,836393.8,25110.94,21.14294020719042,55.82065970163238,2023-10-01
2023-10-01,Active,"Franco, Rangel and Mooney",Bangalore,West,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,9055,4120705.7,683656.56,3542187.97,1415051.1,1987534.74,666611.47,12923.13,18.81920089068565,56.110368981914874,2023-10-01
2023-10-01,Active,Frazier Inc,Hyderabad,South,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,14092,6292038.37,1100633.35,5263801.41,2081624.28,3125809.66,1618758.38,11299.03,30.752649158167987,59.383122890268766,2023-10-01
2023-10-01,Active,French PLC,Bangalore,East,More than 40 lacs,0% to 10%,EBITDA -ve,More than 20%,12784,5437585.12,1534716.21,4044956.72,1516688.79,2388216.38,1099871.09,25044.05,27.191170787112895,59.04182777016215,2023-10-01
2023-10-01,Active,Garcia-Deleon,Hyderabad,West,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%,13213,5000137.84,1292938.92,3805028.75,1824074.39,1904356.11,564499.5,14597.39,14.835617207885749,50.048402656615934,2023-10-01
2023-10-01,Active,Gonzalez Group,Pune,North,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,10368,4309917.31,1284085.9,3117727.16,913410.89,2132516.44,706189.61,16316.63,22.650782886338263,68.39971333476146,2023-10-01
2023-10-01,Active,Gonzalez Inc,Ahmedabad,West,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%,12750,5325782.06,1302712.77,4112904.48,1833984.07,2131430.74,797090.15,12516.03,19.38022518821055,51.82300611075704,2023-10-01
2023-10-01,Active,"Gray, Webster and Sullivan",Mumbai,South,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,10153,4188080.8,1067722.69,3199631.57,1153360.84,1901859.98,515584.69,11615.43,16.113876823636915,59.439967958560935,2023-10-01
2023-10-01,Active,"Green, Wright and Riley",Ahmedabad,North,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,9413,3103267.97,571001.32,2598508.42,1044334.11,1494259.29,176962.71,10383.46,6.810164963791035,57.504500601156415,2023-10-01
2023-10-01,Active,Green-Mcmahon,Bangalore,West,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,8828,4074695.38,707856.42,3398455.79,1102571.01,2170221.0,841432.39,27421.35,24.759256615193458,63.859032869749356,2023-10-01
2023-10-01,Active,Guerrero-Barron,Pune,South,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,11551,5629309.34,1263246.41,4433748.95,1366823.18,3015146.28,1665685.94,25456.13,37.568341346886584,68.00444305715595,2023-10-01
2023-10-01,Active,"Hahn, Farmer and Bowen",Mumbai,East,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,11854,4297278.44,769724.52,3590312.4,1298718.15,2214178.26,861580.4,21393.25,23.997365800257384,61.67090808031078,2023-10-01
2023-10-01,Active,Hall PLC,Bangalore,South,More than 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,14921,6953632.43,1344874.31,5721665.91,2458415.5,3119293.61,1544113.38,10362.71,26.987129348137696,54.51722730871575,2023-10-01
2023-10-01,Active,"Hall, Clark and Waller",Ahmedabad,South,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,9657,4519471.67,907954.74,3728049.98,1589318.12,2056103.64,843404.17,26059.63,22.623199112797305,55.15225522808039,2023-10-01
2023-10-01,Active,"Hall, Smith and Brown",Mumbai,North,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,13165,6187485.15,1549057.64,4715248.01,2132845.57,2527206.78,1222453.21,11304.09,25.92553366031748,53.59647625406664,2023-10-01
2023-10-01,Active,Haney Inc,Pune,North,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,14824,5801932.3,1690240.31,4215506.37,1811258.63,2342968.05,912415.01,26405.54,21.644256464496813,55.57975351843674,2023-10-01
2023-10-01,Active,Harris Ltd,Hyderabad,East,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,More than 20%,11910,4997897.82,887298.97,4209228.84,1764803.7,2381782.52,1043186.46,25426.27,24.783315416037112,56.584771475622595,2023-10-01
2023-10-01,Active,Harrison-Giles,Mumbai,East,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,10% to 20%,13619,5770543.59,1563704.55,4324228.19,1578098.86,2672348.76,1439148.36,28759.44,33.28104569800698,61.799438942189575,2023-10-01
2023-10-01,Active,Hayes Group,Bangalore,North,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,7688,2364161.83,608954.22,1837261.83,680466.83,1082048.7,-394331.65,19164.1,-21.46300780656832,58.8946377882351,2023-10-01
2023-10-01,Active,Henderson Inc,Mumbai,East,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,11472,3474842.83,912541.73,2656988.6,905372.18,1658314.61,138997.66,14039.9,5.231398433549922,62.413312951361554,2023-10-01
2023-10-01,Active,Hendricks-Best,Mumbai,South,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,7167,2733517.07,434027.19,2394791.18,951528.32,1386185.49,41611.41,11478.95,1.737579892038854,57.88335540804855,2023-10-01
2023-10-01,Active,Hernandez-Martin,Ahmedabad,East,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,13079,5801142.64,1349178.9,4528819.78,2103535.4,2364868.99,1046471.8,19555.0,23.106942886563704,52.21821809831435,2023-10-01
2023-10-01,Active,Hess-Morales,Mumbai,West,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,10286,3959815.0,830002.57,3215864.75,1184805.94,1928105.75,586729.17,10510.49,18.244833524171067,59.95605847540697,2023-10-01
2023-10-01,Active,Hodges-Roy,Pune,West,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,11293,3460171.85,777483.0,2769556.3,1297785.11,1348115.86,79968.83,23592.7,2.8874238808577393,48.67623958393625,2023-10-01
2023-10-01,Active,Hoffman Inc,Mumbai,West,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%,12656,6222888.13,1007677.77,5346846.23,1861234.57,3342825.83,2090568.59,16999.08,39.09909692690003,62.519580444339795,2023-10-01
2023-10-01,Active,Horne LLC,Bangalore,South,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,12621,5061091.79,782315.64,4358395.76,1910390.46,2321676.78,1060177.57,20264.4,24.32494955437457,53.26906751579622,2023-10-01
2023-10-01,Active,Houston-Barnes,Hyderabad,North,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,10334,3301143.43,688087.98,2704161.55,913806.99,1660067.92,436115.5,10184.45,16.127568266030558,61.389376681285924,2023-10-01
2023-10-01,Active,Huang-Hart,Bangalore,East,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,12260,5594307.19,867269.48,4786763.92,1574077.18,3126977.79,1676838.87,23265.32,35.03074097709001,65.32550679875601,2023-10-01
2023-10-01,Active,"Hurley, Porter and Perkins",Bangalore,North,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%,12690,5409744.73,1124201.58,4440656.51,1753419.08,2537307.48,1067420.04,21037.6,24.037437653559927,57.13811627371287,2023-10-01
2023-10-01,Active,"Jackson, Nelson and Collins",Bangalore,South,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,13685,4281694.06,706261.89,3652986.96,1272707.91,2277881.63,1179686.59,26944.19,32.29375310992077,62.35668659490643,2023-10-01
2023-10-01,Active,Jarvis-Smith,Bangalore,South,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,14072,5231886.38,1207850.82,4068636.52,1711642.43,2233611.08,930017.53,15923.49,22.858211231904292,54.89827044073232,2023-10-01
2023-10-01,Active,Jenkins Ltd,Hyderabad,North,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,11959,4774557.75,1210324.86,3681162.53,1411414.58,2199809.87,933387.18,10895.03,25.355772052803115,59.75856409686969,2023-10-01
2023-10-01,Active,"Johnson, Daniel and King",Hyderabad,East,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,10156,3514134.04,827747.47,2808960.83,899703.7,1851666.57,407310.07,28554.63,14.500382691345681,65.91998543461357,2023-10-01
2023-10-01,Active,"Jones, Knight and Rivers",Mumbai,East,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,11285,4496817.56,1138678.63,3415009.74,1637405.2,1638301.28,308853.04,18944.1,9.043987089770349,47.97354633606403,2023-10-01
2023-10-01,Active,"Kaufman, James and Flores",Ahmedabad,South,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,11655,4249742.15,1139635.17,3165647.2,1525848.12,1576776.82,229576.7,18980.11,7.252125252618169,49.808987558689424,2023-10-01
2023-10-01,Active,"Kaufman, Tate and Williams",Mumbai,East,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,14766,4647992.75,888695.34,3826859.93,1566639.31,2193556.6,890873.42,25773.86,23.279488570149994,57.32001275520946,2023-10-01
2023-10-01,Active,Kelley-Mills,Hyderabad,East,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%,10869,3805247.48,967439.29,2899237.98,1256635.9,1506654.03,226554.77,29020.75,7.814286773381742,51.967242440718856,2023-10-01
2023-10-01,Active,"King, Navarro and Smith",Ahmedabad,North,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%,14310,5899422.12,1572427.26,4456332.68,1531579.99,2822026.17,1379556.55,16038.33,30.957216371915937,63.326200547486955,2023-10-01
2023-10-01,Active,Kirby-Olson,Pune,West,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,More than 20%,11503,5397127.67,1155664.58,4306032.76,1300334.47,2873024.05,1356146.1,15104.65,31.494096203764137,66.72090553254407,2023-10-01
2023-10-01,Active,"Lang, Riddle and Foster",Pune,South,More than 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,8851,2797461.69,582469.28,2283453.55,1014914.85,1213347.0,-127081.41,28435.21,-5.565316185214279,53.13648705488229,2023-10-01
2023-10-01,Active,"Lewis, Ford and Blanchard",Mumbai,East,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,11367,3783273.47,818611.18,3039664.71,1258123.91,1641792.51,268699.81,23157.68,8.839784503732321,54.01228973046833,2023-10-01
2023-10-01,Active,Lin-David,Mumbai,East,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,9718,3754241.43,662665.93,3201876.23,1374408.56,1719636.6,362456.34,15402.28,11.320123389029314,53.707154070724336,2023-10-01
2023-10-01,Active,"Lopez, Harper and Travis",Bangalore,North,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,9974,4936357.03,831572.06,4221893.02,1698948.1,2410666.91,1067144.26,18938.91,25.276440093216767,57.09919456935933,2023-10-01
2023-10-01,Active,"Mahoney, Dixon and Hobbs",Ahmedabad,East,More than 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,12974,6104367.52,1151838.76,5026714.86,1566525.8,3338622.79,1847249.29,18969.7,36.7486388515779,66.41758848442022,2023-10-01
2023-10-01,Active,Marshall LLC,Ahmedabad,East,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,12357,5805470.79,1497819.03,4432144.1,1436814.94,2881124.17,1485286.96,27002.22,33.51170283475215,65.00520075599528,2023-10-01
2023-10-01,Active,Martin-Arroyo,Hyderabad,North,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,13827,6151417.54,1295314.15,4924484.7,1892846.53,2883430.43,1740750.92,15028.6,35.34889488031103,58.55293712253792,2023-10-01
2023-10-01,Active,Mckinney Inc,Bangalore,North,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,11905,5655725.46,1154847.03,4577785.29,2053615.65,2423610.14,1136840.65,22612.42,24.833856941333305,52.94285307120641,2023-10-01
2023-10-01,Active,Mcmillan Ltd,Ahmedabad,East,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,10995,3900549.39,1028929.35,2964073.0,1063928.95,1809956.97,342551.52,25996.26,11.556784195261049,61.06317118370567,2023-10-01
2023-10-01,Active,Mendez Ltd,Hyderabad,North,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,14941,5991182.6,980933.32,5064254.49,1978421.65,2982897.12,1699267.85,21916.23,33.554155964227625,58.901011509001,2023-10-01
2023-10-01,Active,Meza LLC,Pune,West,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%,14107,4612723.01,1045287.78,3639164.59,1442710.49,2129039.65,935489.8,22808.26,25.706169008420698,58.503527316416324,2023-10-01
2023-10-01,Active,Miller LLC,Pune,South,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%,13825,5403134.99,1253795.32,4237847.69,1388037.27,2748258.07,1482147.43,21276.92,34.97406085398977,64.85032665248994,2023-10-01
